Employee#,LastName,FirstName,Birthday,Address,PhoneNumber,Status,Position,ImmediateSupervisor,BasicSalary,HourlyRate
10001,Crisostomo,Jose,02/14/1988,17/85StrackeViaSuite042PoblacionLasPiñas4783DinagatIslands,918-621-603,Regular,HRManager,N/A,62670,373.04
10002,Mata,Christian,10/21/1987,90O'KeefeSpurApt.379Catigbian2772Sulu,783-776-744,Regular,AccountTeamLeader,Romualdez Fredrick,42975,255.8
10003,SanJose,Brad,03/15/1996,99StrosinHillsPoblacionBislig5340Tawi-Tawi,797-009-261,Regular,HRTeamLeader,Crisostomo Jose,42975,255.8
10004,Salcedo,Anthony,09/14/1993,93/54ShanahanAlleyApt.183SantoTomas1572Masbate,070-766-300,Regular,PayrollManager,Crisostomo Jose,60825,362.05
10005,Romualdez,Alice,05/14/1992,12A/33UptonIsleApt.420RoxasCity1814SurigaodelNorte,983-606-799,Regular,HRRankandFile,SanJose Brad,22500,133.93
10006,Atienza,Rosie,09/24/1948,90ADibbertTerraceApt.190SanLorenzo6056DavaodelNorte,266-036-427,Regular,HRRankandFile,SanJose Brad,22500,133.93
10007,Farala,Martha,01/11/1942,42/25SawaynStreamUbay1208ZamboangadelNorte,329-034-366,Regular,PayrollRankandFile,FaralaMartha,24000,142.86
10008,Martinez,Leila,07/11/1970,37/46KulasRoadsMaragondon0962Quirino,877-110-749,Regular,PayrollRankandFile,FaralaMartha,24000,142.86
10009,SanJose,Allison,06/24/1986,08GrantDriveSuite406PoblacionIloiloCity9186LaUnion,179-075-129,Regular,AccountRankandFile,MataChristian,22500,133.93
10010,Rosario,Cydney,10/06/1996,93A/21BergePointsTapaz2180Quezon,868-819-912,Regular,AccountRankandFile,MataChristian,22500,133.93
10011,Lopez,Josie,01/14/1937,49SpringsApt.266PoblacionTaguig3200OccidentalMindoro,478-355-427,Regular,PayrollTeamLeader,SalcedoAnthony,38475,229.02
10012,DeLeon,Selena,02/20/1945,89AArmstrongTraceCompostela7874Maguindanao,975-432-139,Regular,AccountTeamLeader,RomualdezFredrick,41850,249.11
10013,Romualdez,Fredrick,03/10/1985,22A/52LubowitzMeadowsPililla4895Zambales,023-079-009,Regular,AccountManager,CrisostomoJose,63500,377.98
10014,Bautista,Mark,02/12/1961,65MurphyCenterSuite094PoblacionPalayan5636Quirino,683-725-348,Regular,AccountRankandFile,MataChristian,23250,138.39
10015,Lazaro,Darlene,11/25/1985,47A/94LarkinPlazaApt.179PoblacionCaloocan2751Quirino,740-721-558,Probationary,AccountRankandFile,MataChristian,23250,138.39
10016,DelosSantos,Kolby,02/26/1980,06AGulgowskiExtensionsBongabon6085ZamboangadelSur,739-443-033,Probationary,AccountRankandFile,MataChristian,24000,142.86
10017,Santos,Vella,12/31/1983,99APadbergSpringPoblacionMabalacat3959LanaodelSur,955-879-269,Probationary,AccountRankandFile,MataChristian,22500,133.93
10018,DelRosario,Tomas,12/18/1978,80A/48LednerRidgesPoblacionKabankalan8870Marinduque,882-550-989,Probationary,AccountRankandFile,MataChristian,22500,133.93
10019,Tolentino,Jacklyn,05/19/1944,96/48WatsicaFlatsSuite734PoblacionMalolos1844Ifugao,675-757-366,Probationary,AccountRankandFile,DeLeonSelena,24000,142.86
10020,Gutierrez,Percival,12/18/1970,58AWildermanWalksPoblacionDigos5822DavaodelSur,512-899-876,Probationary,AccountRankandFile,DeLeonSelena,24750,147.32
10021,Manalaysay,Garfield,08/28/1966,60GoyetteValleySuite219PoblacionTabuk3159LanaodelSur,948-628-136,Probationary,AccountRankandFile,DeLeonSelena,24750,147.32
10022,Villegas,Lizeth,12/12/1981,66/77MannViewsLuisiana1263DinagatIslands,332-372-215,Probationary,AccountRankandFile,DeLeonSelena,24000,142.86
10023,Ramos,Carol,08/20/1978,72/70StammSpursBustos4550Iloilo,250-700-389,Probationary,AccountRankandFile,DeLeonSelena,22500,133.93
