Employee #,Last Name,First Name,Birthday,Address,Phone Number,Status,Position,Immediate Supervisor,Basic Salary,Hourly Rate
10001,Crisostomo,Jose,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,Regular,HR Manager,N/A,"62,670",373.04
10002,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,Regular,Account Team Leader,"Romualdez, Fredrick","42,975",255.80
10003,San Jose,Brad ,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,Regular,HR Team Leader,"Crisostomo, Jose","42,975",255.80
10004,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,Regular,Payroll Manager,"Crisostomo, Jose","60,825",362.05
10005,Romualdez,Alice,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,Regular,HR Rank and File,"San Jose, Brad","22,500",133.93
10006,Atienza,Rosie ,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,Regular,HR Rank and File,"San Jose, Brad","22,500",133.93
10007,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,Regular,Payroll Rank and File,"Farala, Martha","24,000",142.86
10008,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,Regular,Payroll Rank and File,"Farala, Martha","24,000",142.86
10009,San Jose,Allison ,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,Regular,Account Rank and File,"Mata, Christian","22,500",133.93
10010,Rosario,Cydney ,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,Regular,Account Rank and File,"Mata, Christian","22,500",133.93
10011,Lopez,Josie ,01/14/1937,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475",229.02
10012,De Leon,Selena ,02/20/1945,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,Regular,Account Team Leader,"Romualdez, Fredrick","41,850",249.11
10013,Romualdez,Fredrick ,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,Regular,Account Manager,"Crisostomo, Jose","63,500",377.98
10014,Bautista,Mark ,02/12/1961,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,Regular,Account Rank and File,"Mata, Christian","23,250",138.39
10015,Lazaro,Darlene ,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,Probationary,Account Rank and File,"Mata, Christian","23,250",138.39
10016,Delos Santos,Kolby ,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,Probationary,Account Rank and File,"Mata, Christian","24,000",142.86
10017,Santos,Vella ,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,Probationary,Account Rank and File,"Mata, Christian","22,500",133.93
10018,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,Probationary,Account Rank and File,"Mata, Christian","22,500",133.93
10019,Tolentino,Jacklyn ,05/19/1944,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,Probationary,Account Rank and File,"De Leon, Selena","24,000",142.86
10020,Gutierrez,Percival ,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,Probationary,Account Rank and File,"De Leon, Selena","24,750",147.32
10021,Manalaysay,Garfield ,08/28/1966,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,Probationary,Account Rank and File,"De Leon, Selena","24,750",147.32
10022,Villegas,Lizeth ,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,Probationary,Account Rank and File,"De Leon, Selena","24,000",142.86
10023,Ramos,Carol ,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,Probationary,Account Rank and File,"De Leon, Selena","22,500",133.93
10024,Maceda,Emelia ,04/14/1963,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,Probationary,Account Rank and File,"De Leon, Selena","22,500",133.93
10025,Aguilar,Delia ,01/27/1939,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,Probationary,Account Rank and File,"De Leon, Selena","22,500",133.93
